Date,Open,High,Low,Close,Volume,Adj Close
11/13/2012,283.8,283.8,283.8,283.8,0,274.61
11/12/2012,287.9,290,283.2,283.8,3554500,274.61
11/9/2012,288.05,290.4,286.6,288.15,2539200,278.82
11/8/2012,288,291.45,287.45,289,2497400,279.64
11/7/2012,289.85,290.75,287.05,289.95,4212700,280.56
11/6/2012,288.9,291.2,285.95,289.15,3877100,279.79
11/5/2012,284.05,289,282.85,288.65,3891200,279.3
11/2/2012,281.5,286.8,281.4,283.2,7118300,274.03
11/1/2012,282.05,282.8,277.2,279.3,4381600,270.26
10/31/2012,284.95,285.55,281.35,282.55,3800700,273.4
10/30/2012,287.15,288.4,283.6,284.1,3451500,274.9
10/29/2012,286,290,285.75,288.25,2960900,278.92
10/26/2012,292.05,292.05,292.05,292.05,0,282.59
10/25/2012,291.3,294,288.65,292.05,7943200,282.59
10/24/2012,290,290,290,290,0,280.61
10/23/2012,294.85,294.85,288.5,290,3533500,280.61
10/22/2012,298,298.3,291.15,294,7326800,284.48
10/19/2012,291.4,299,290.2,297.5,13483100,287.87
10/18/2012,288.5,292,286.15,291.6,8473400,282.16
10/17/2012,286.25,289.35,285.1,288.25,2918700,278.92
10/16/2012,285,288.4,284.1,286.45,4555400,277.18
10/15/2012,283.1,287.55,280.1,286.75,3434800,277.47
10/12/2012,284.75,285.2,281.6,283.5,3255400,274.32
10/11/2012,279.05,284.65,276.35,283.5,5862200,274.32
10/10/2012,279.5,281.8,278,281,3997600,271.9
10/9/2012,278.5,281.25,277.8,280.05,3854100,270.98
10/8/2012,275.7,279.4,274.05,277.75,5735200,268.76
10/5/2012,276.5,280,220.25,275.65,8159700,266.73
10/4/2012,270.3,276.45,270.3,275.3,6600000,266.39
10/3/2012,273.5,273.75,267.6,270.25,8556900,261.5
10/2/2012,273.25,273.25,273.25,273.25,0,264.4
10/1/2012,271.5,275,270.6,273.25,5045200,264.4
9/28/2012,266.5,272.85,266.1,272.4,9445900,263.58
9/27/2012,264.1,268,262.1,266.95,12328800,258.31
9/26/2012,262.7,264.6,260.45,263.8,10257500,255.26
9/25/2012,255.9,261.8,255,260.8,7134200,252.36
9/24/2012,261.5,261.6,254.05,255.85,7543800,247.57
9/21/2012,258,264.55,256.85,261.6,12013300,253.13
9/20/2012,254.7,257.3,253.6,256.45,7238600,248.15
9/19/2012,254.2,254.2,254.2,254.2,0,245.97
9/18/2012,253.95,258.25,251.8,254.2,8772400,245.97
9/17/2012,268.55,268.85,251.1,253.5,18981400,245.29
9/14/2012,271.6,272.8,266.85,268.25,11011000,259.56
9/13/2012,269.15,270.3,267.95,269.65,3610100,260.92
9/12/2012,267.75,270,266.8,269.3,3695100,260.58
9/11/2012,264.6,267.85,263.1,267.3,2494600,258.65
9/10/2012,263.9,265.5,262.25,264.65,4251000,256.08
9/7/2012,263,263.7,260.4,262.75,6861300,254.24
9/6/2012,267.05,267.45,260.1,260.45,4601300,252.02
9/5/2012,266,269.3,266,267.75,4262000,259.08
9/4/2012,267.1,268.85,265.65,266.5,2600100,257.87
9/3/2012,269,269.85,266.35,267.6,3984800,258.94
8/31/2012,270,270.5,266.3,267.65,5229100,258.98
8/30/2012,268.9,273.25,266.1,270.6,15972600,261.84
8/29/2012,268.9,269.8,266.75,269.35,3891500,260.63
8/28/2012,265.35,268.5,265.35,268.15,3874800,259.47
8/27/2012,265.05,266.25,264,265.35,1712000,256.76
8/24/2012,263.7,266.3,262.1,265.15,7159900,256.57
8/23/2012,262.2,264.95,261.5,264.25,5044400,255.69
8/22/2012,260.15,263.1,259.35,261.65,2962200,253.18
8/21/2012,262.1,262.2,259.35,260.75,6380700,252.31
8/20/2012,262.1,262.1,262.1,262.1,0,253.61
8/17/2012,258.1,263.4,258.1,262.1,5204100,253.61
8/16/2012,267.35,268.5,257.5,258.35,9763700,249.99
8/15/2012,267.8,267.8,267.8,267.8,0,259.13
8/14/2012,266.9,269.4,264.7,267.8,3546600,259.13
8/13/2012,267.35,268.95,264.2,266.9,4807200,258.26
8/10/2012,264.5,269,264.3,267.75,5519600,259.08
8/9/2012,261.4,266.85,261.4,265.6,5041700,257
8/8/2012,261,263.55,259.4,261.55,4620800,253.08
8/7/2012,258.55,261.85,257.1,261.3,3394700,252.84
8/6/2012,260.6,261.95,257.5,258.4,1919400,250.03
8/3/2012,259.85,260.9,257.65,259.35,2484100,250.95
8/2/2012,260,262,259,261.45,3503000,252.99
8/1/2012,257.95,259.5,256.3,259.05,1914300,250.66
7/31/2012,258.5,260.8,255.65,258.15,5853000,249.79
7/30/2012,255.85,258.8,254.5,258.2,5424500,249.84
7/27/2012,254.65,255.6,251.8,254.95,6425100,246.7
7/26/2012,255.8,257,248.1,249.45,14053500,241.37
7/25/2012,250.5,255.3,248.5,254.75,5294700,246.5
7/24/2012,250.75,252.4,248.6,250.3,3523500,242.2
7/23/2012,251.4,251.6,248.55,249.55,2564500,241.47
7/20/2012,252.9,254.95,252.3,252.85,1897700,244.66
7/19/2012,254.6,256.05,252.7,254.1,2952400,245.87
7/18/2012,256.4,256.7,253.75,254.95,3299100,246.7
7/17/2012,253.45,256,252.7,255.5,3134600,247.23
7/16/2012,252.7,254.6,250.95,252.05,1700400,243.89
7/13/2012,251.35,254.45,250.35,253.55,2332700,245.34
7/12/2012,253.5,256.8,251.15,251.7,3173000,243.55
7/11/2012,256.85,257.8,252.7,253.3,4905900,245.1
7/10/2012,251.75,259.2,249.1,258.4,6037200,250.03
7/9/2012,250.65,254.9,250.5,251.65,4455300,243.5
7/6/2012,251,253.5,248.7,252.75,4607000,244.57
7/5/2012,247,251,246.3,250.6,3746000,242.49
7/4/2012,248.8,248.9,244.5,246.15,5702700,238.18
7/3/2012,250,250.25,245.45,246.5,10050800,238.52
7/2/2012,259.15,260.4,247.45,250.05,9828600,241.95
6/29/2012,251.65,260,251.65,258.9,9116800,250.52
6/28/2012,248,252.7,247.15,251.3,8441900,243.16
6/27/2012,248.3,249.6,247.25,247.8,3367500,239.78
6/26/2012,249.35,249.85,246.3,247.05,4086600,239.05
6/25/2012,250,253.9,249.1,250.05,3491700,241.95
6/22/2012,250,253,246.75,250.5,2632900,242.39
6/21/2012,245.6,252,245.5,251.4,4643100,243.26
6/20/2012,249.4,249.65,244.85,246.05,4184000,238.08
6/19/2012,242.7,250,242.7,249.4,6222100,241.33
6/18/2012,247.5,250,242.5,243.2,3409300,235.33
6/15/2012,244.95,248.8,244,248,6962600,239.97
6/14/2012,243.05,248.65,243.05,244.7,5868400,236.78
6/13/2012,242.35,244.9,242.15,244.05,3729200,236.15
6/12/2012,237.15,244.25,235.55,243.05,4341800,235.18
6/11/2012,237.8,241,236.5,239.75,3310100,231.99
6/8/2012,236.75,241.3,234.75,239.2,4720500,227.1
6/7/2012,235.6,239.3,232.6,236.35,6597600,224.4
6/6/2012,225.9,237,225.9,234.55,10266100,222.69
6/5/2012,230.75,232.7,225,225.9,5072000,214.47
6/4/2012,232.4,234.25,229.35,230.1,4022900,218.46
6/1/2012,228.9,234.7,228.9,233.85,6754400,222.02
5/31/2012,229.2,232.5,227.5,229.35,20579800,217.75
5/30/2012,230.9,234.35,230.5,231.9,5435700,220.17
5/29/2012,235.75,235.95,230,230.9,5275500,219.22
5/28/2012,233,236,232.1,235.05,3536500,223.16
5/25/2012,233,236,230.8,231.85,9135800,220.12
5/24/2012,231.7,234.7,231,233.35,5786700,221.55
5/23/2012,231.05,233,230,231.7,4361900,219.98
5/22/2012,237.3,239.2,230.1,232.75,6833700,220.98
5/21/2012,239.65,240.95,234,234.85,4147200,222.97
5/18/2012,232.25,241,230,239.55,8376400,227.43
5/17/2012,229,236.65,229,234.75,10132300,222.88
5/16/2012,229,231,226.4,227.3,5100200,215.8
5/15/2012,232.5,235.6,230.1,230.85,5076900,219.17
5/14/2012,234,236,232,234.5,3316900,222.64
5/11/2012,237.7,238.2,231.35,234.25,5214300,222.4
5/10/2012,241.4,243.4,236.35,239.25,6516500,227.15
5/9/2012,230,241,227.1,239.9,13316500,227.77
5/8/2012,237,241.9,223.85,226.9,11351700,215.42
5/7/2012,235,239,233.35,236.35,5053400,224.4
5/4/2012,241.4,244.95,237.35,238.15,6393500,226.1
5/3/2012,245.4,245.95,241,241.7,3768000,229.47
5/2/2012,245.55,247.85,243.5,244.6,4783800,232.23
5/1/2012,245.55,245.55,245.55,245.55,0,233.13
4/30/2012,248,249.3,245.1,245.5,3186500,233.08
4/27/2012,248.7,252.85,244.95,245.8,6188100,233.37
4/26/2012,246.4,249.9,244.5,249.05,7036300,236.45
4/25/2012,245.4,246.8,242.55,245.95,4195000,233.51
4/24/2012,245.15,245.75,237.85,245.05,6259500,232.66
4/23/2012,245.5,247.7,244.05,244.75,6591500,232.37
4/20/2012,243.6,247.4,242.65,245.2,4222100,232.8
4/19/2012,242.7,244.8,238.75,244.05,6366700,231.71
4/18/2012,246.3,248.05,240.7,241.75,8680700,229.52
4/17/2012,245.6,247.5,239.55,246.2,5438600,233.75
4/16/2012,235.75,242,234.65,241.05,3966700,228.86
4/13/2012,234.75,240.85,232.8,236.25,9700700,224.3
4/12/2012,228.65,235,228.65,234.75,13035200,222.88
4/11/2012,228.9,230.1,226.4,229.75,6314600,218.13
4/10/2012,224.2,230,223.25,229.35,5486200,217.75
4/9/2012,225.6,227.05,223.25,224.05,3459700,212.72
4/6/2012,227.4,227.4,227.4,227.4,0,215.9
4/5/2012,227.4,227.4,227.4,227.4,0,215.9
4/4/2012,226.5,228.9,225.6,227.4,4768300,215.9
4/3/2012,228.15,228.35,226.55,227.1,5878800,215.61
4/2/2012,227.4,228.35,225.65,226.95,9730900,215.47
3/30/2012,224.6,227.85,224.45,226.9,9142200,215.42
3/29/2012,224,227.35,221.75,224.55,11150800,213.19
3/28/2012,226,227.9,224.6,226.8,5893000,215.33
3/27/2012,223.85,227.25,222,226.05,7574000,214.62
3/26/2012,223,224.3,221,222.7,6889000,211.44
3/23/2012,221.4,224.75,219.75,222.45,7854100,211.2
3/22/2012,223.7,226.7,218.15,219.7,11018100,208.59
3/21/2012,223.6,224.9,220.85,223.85,10739600,212.53
3/20/2012,220.45,224.5,219.1,223.6,10724400,212.29
3/19/2012,217,223.7,215.45,220.5,23669300,209.35
3/16/2012,208.25,225,208.25,216.15,43904700,205.22
3/15/2012,212,213.1,207.8,208.9,10388500,198.33
3/14/2012,210,213.35,210,212.5,6543900,201.75
3/13/2012,207,209.5,207,209.05,5823300,198.48
3/12/2012,210.4,210.4,206.1,206.8,3826600,196.34
3/9/2012,211.15,212.75,207.55,208.25,9885500,197.72
3/8/2012,206.85,206.85,206.85,206.85,0,196.39
3/7/2012,210,211,208.1,209.95,5248700,199.33
3/6/2012,206.65,211.7,205.2,210.4,10048600,199.76
3/5/2012,205.1,207.95,203.7,207,8038300,196.53
3/2/2012,207.1,207.55,203.4,205.25,5706500,194.87
3/1/2012,207.6,209.9,204.8,206.85,5070800,196.39
2/29/2012,211,213,206.65,207.65,8858500,197.15
2/28/2012,212.15,213.5,210.05,210.7,8765800,200.04
2/27/2012,210,212.9,208.5,212.3,11607700,201.56
2/24/2012,208.6,210.95,208.3,209.4,6058100,198.81
